name	areas
Moga Woods (Day)	12
Moga Woods (Night)	12
Deserted Island (Low Rank)	12
Deserted Island (High Rank)	12
Deserted Island (G Rank)	12
Sandy Plains (Low Rank)	11
Sandy Plains (High Rank)	11
Sandy Plains (G Rank)	11
Flooded Forest (Low Rank)	10
Flooded Forest (High Rank)	10
Flooded Forest (G Rank)	10
Tundra (Low Rank)	7
Tundra (High Rank)	9
Tundra (G Rank)	9
Volcano (Low Rank)	10
Volcano (High Rank)	10
Volcano (G Rank)	10
Misty Peaks (High Rank)	9
Misty Peaks (G Rank)	9
Land Arena	1
Water Arena	1
Great Desert/Dragonship	2
Ruins	3
The Tower	1
