name	item	drop_rate	action	rank					
Arzuros	Arzuros Pelt	65	Body Carve	Low Rank					
Arzuros	Arzuros Shell	25	Body Carve	Low Rank					
Arzuros	Jumbo Bone	10	Body Carve	Low Rank					
Arzuros	Arzuros Pelt+	60	Body Carve	High Rank					
Arzuros	Arzuros Carapace	20	Body Carve	High Rank					
Arzuros	Stoutbone	10	Body Carve	High Rank					
Arzuros	Arzuros Pelt	10	Body Carve	High Rank					
Arzuros	Arzuros Cortex	38	Body Carve	G Rank					
Arzuros	Massive Bone	27	Body Carve	G Rank					
Arzuros	Arzuros Pelt+	25	Body Carve	G Rank					
Arzuros	Crushing Fang	10	Body Carve	G Rank					
Arzuros	Beast Tear	75	Tear - Hit with Vulnerability Item	Low Rank					
Arzuros	Arzuros Pelt	25	Tear - Hit with Vulnerability Item	Low Rank					
Arzuros	Beast Tear	38	Tear - Hit with Vulnerability Item	High Rank					
Arzuros	Lrg Beast Tear	37	Tear - Hit with Vulnerability Item	High Rank					
Arzuros	Arzuros Pelt+	25	Tear - Hit with Vulnerability Item	High Rank					
Arzuros	Lrg Beast Tear	50	Tear - Hit with Vulnerability Item	G Rank					
Arzuros	Beast Tear	25	Tear - Hit with Vulnerability Item	G Rank					
Arzuros	Arzuros Pelt+	25	Tear - Hit with Vulnerability Item	G Rank					
Arzuros	Honey	100	Tear - Attacked while Fatiged and eating Honey	Low Rank					
Arzuros	Honey	100	Tear - Attacked while Fatiged and eating Honey	High Rank					
Arzuros	Honey	100	Tear - Attacked while Fatiged and eating Honey	G Rank					
Arzuros	Sushifish	85	Tear - Hit while trying to catch fish	Low Rank					
Arzuros	Goldenfish	15	Tear - Hit while trying to catch fish	Low Rank					
Arzuros	Sushifish	85	Tear - Hit while trying to catch fish	High Rank					
Arzuros	Goldenfish	15	Tear - Hit while trying to catch fish	High Rank					
Arzuros	Sushifish	85	Tear - Hit while trying to catch fish	G Rank					
Arzuros	Goldenfish	15	Tear - Hit while trying to catch fish	G Rank					
Arzuros	Arzuros Shell	40	Capture	Low Rank					
Arzuros	Jumbo Bone	25	Capture	Low Rank					
Arzuros	Arzuros Brace	20	Capture	Low Rank					
Arzuros	Arzuros Pelt	10	Capture	Low Rank					
Arzuros	Sharpened Fang	5	Capture	Low Rank					
Arzuros	Arzuros Carapace	40	Capture	High Rank					
Arzuros	Stoutbone	20	Capture	High Rank					
Arzuros	Arzuros Brace+	20	Capture	High Rank					
Arzuros	Arzuros Shell	10	Capture	High Rank					
Arzuros	Arzuros Pelt+	10	Capture	High Rank					
Arzuros	Arzuros Cortex	38	Capture	G Rank					
Arzuros	Arzuros Allbrace	20	Capture	G Rank					
Arzuros	Crushing Fang	15	Capture	G Rank					
Arzuros	Arzuros Carapace	10	Capture	G Rank					
Arzuros	Arzuros Pelt+	10	Capture	G Rank					
Arzuros	Massive Bone	7	Capture	G Rank					
Arzuros	Arzuros Brace	70	Break Part	Low Rank					
Arzuros	Arzuros Pelt	30	Break Part	Low Rank					
Arzuros	Arzuros Brace+	65	Break Part	High Rank					
Arzuros	Arzuros Pelt+	25	Break Part	High Rank					
Arzuros	Arzuros Brace	10	Break Part	High Rank					
Arzuros	Arzuros Allbrace	65	Break Part	G Rank					
Arzuros	Arzuros Pelt+	25	Break Part	G Rank					
Arzuros	Arzuros Brace+	10	Break Part	G Rank					
Arzuros	Arzuros Shell	40	Free Hunt	Low Rank					
Arzuros	Arzuros Brace	20	Free Hunt	Low Rank					
