item	map	area
Whetfish	Moga Woods (Day)	0
Armorfish Morsel	Moga Woods (Day)	0
Pin Tuna	Moga Woods (Day)	0
Glutton Tuna	Moga Woods (Day)	0
Popfish	Moga Woods (Day)	0
Small Goldenfish	Moga Woods (Day)	0
Whetstone	Moga Woods (Day)	1
Insect Husk	Moga Woods (Day)	1
Stone	Moga Woods (Day)	1
Herb	Moga Woods (Day)	1
Felvine	Moga Woods (Day)	1
Torch	Moga Woods (Day)	1
Airweed	Moga Woods (Day)	1
Spider Web	Moga Woods (Day)	1
Ivy	Moga Woods (Day)	1
Sap Plant	Moga Woods (Day)	1
Might Seed	Moga Woods (Day)	1
Iron Ore	Moga Woods (Day)	1
Earth Crystal	Moga Woods (Day)	1
Aquaglow Jewel	Moga Woods (Day)	1
Machalite Ore	Moga Woods (Day)	1
Bitterbug	Moga Woods (Day)	1
Flashbug	Moga Woods (Day)	1
Worm	Moga Woods (Day)	1
Silver Cricket	Moga Woods (Day)	1
Godbug	Moga Woods (Day)	1
Thunderbug	Moga Woods (Day)	1
Carpenterbug	Moga Woods (Day)	1
Mega Fishing Fly	Moga Woods (Day)	1
Honey	Moga Woods (Day)	2
Snakebee Larva	Moga Woods (Day)	2
Insect Husk	Moga Woods (Day)	2
Blue Mushroom	Moga Woods (Day)	2
Exciteshroom	Moga Woods (Day)	2
Herb	Moga Woods (Day)	2
Airweed	Moga Woods (Day)	2
Spider Web	Moga Woods (Day)	2
Ivy	Moga Woods (Day)	2
Sap Plant	Moga Woods (Day)	2
Might Seed	Moga Woods (Day)	2
Paintberry	Moga Woods (Day)	2
Antidote Herb	Moga Woods (Day)	2
Bitterbug	Moga Woods (Day)	2
Flashbug	Moga Woods (Day)	2
Worm	Moga Woods (Day)	2
Silver Cricket	Moga Woods (Day)	2
Godbug	Moga Woods (Day)	2
Thunderbug	Moga Woods (Day)	2
Carpenterbug	Moga Woods (Day)	2
Mega Fishing Fly	Moga Woods (Day)	2
Blue Mushroom	Moga Woods (Day)	3
Exciteshroom	Moga Woods (Day)	3
Insect Husk	Moga Woods (Day)	3
Honey	Moga Woods (Day)	3
Snakebee Larva	Moga Woods (Day)	3
Unique Mushroom	Moga Woods (Day)	3
Choice Mushroom	Moga Woods (Day)	3
Spider Web	Moga Woods (Day)	3
Worm	Moga Woods (Day)	3
Stinkhopper	Moga Woods (Day)	3
Bitterbug	Moga Woods (Day)	3
Flashbug	Moga Woods (Day)	3
Silver Cricket	Moga Woods (Day)	3
Godbug	Moga Woods (Day)	3
Thunderbug	Moga Woods (Day)	3
Carpenterbug	Moga Woods (Day)	3
Mega Fishing Fly	Moga Woods (Day)	3
Fossil Piece	Moga Woods (Day)	4
Dragonbone Piece	Moga Woods (Day)	4
Iron Ore	Moga Woods (Day)	4
Earth Crystal	Moga Woods (Day)	4
Stone	Moga Woods (Day)	4
Whetfish	Moga Woods (Day)	4
Machalite Ore	Moga Woods (Day)	4
Aquaglow Jewel	Moga Woods (Day)	4
Bitterbug	Moga Woods (Day)	4
Mega Fishing Fly	Moga Woods (Day)	4
Carpenterbug	Moga Woods (Day)	4
Godbug	Moga Woods (Day)	4
Stinkhopper	Moga Woods (Day)	4
Flashbug	Moga Woods (Day)	4
Thunderbug	Moga Woods (Day)	4
Mystery Bone	Moga Woods (Day)	5
Bone	Moga Woods (Day)	5
Unknown Skull	Moga Woods (Day)	5
Monster Bone S	Moga Woods (Day)	5
Bitterbug	Moga Woods (Day)	5
Flashbug	Moga Woods (Day)	5
Stinkhopper	Moga Woods (Day)	5
Bughopper	Moga Woods (Day)	5
Thunderbug	Moga Woods (Day)	5
Godbug	Moga Woods (Day)	5
Carpenterbug	Moga Woods (Day)	5
Mega Fishing Fly	Moga Woods (Day)	5
Bone	Moga Woods (Day)	6
Mystery Bone	Moga Woods (Day)	6
Unknown Skull	Moga Woods (Day)	6
Monster Bone S	Moga Woods (Day)	6
Fossil Piece	Moga Woods (Day)	6
Dragonbone Piece	Moga Woods (Day)	6
Odd Egg	Moga Woods (Day)	6
Herb	Moga Woods (Day)	7
Felvine	Moga Woods (Day)	7
Insect Husk	Moga Woods (Day)	7
Whetstone	Moga Woods (Day)	7
Stone	Moga Woods (Day)	7
Blue Mushroom	Moga Woods (Day)	7
Unique Mushroom	Moga Woods (Day)	7
Choice Mushroom	Moga Woods (Day)	7
Iron Ore	Moga Woods (Day)	7
Earth Crystal	Moga Woods (Day)	7
Whetfish	Moga Woods (Day)	7
Bone	Moga Woods (Day)	8
Mystery Bone	Moga Woods (Day)	8
Dung	Moga Woods (Day)	8
Machalite Ore	Moga Woods (Day)	8
Odd Egg	Moga Woods (Day)	8
Iron Ore	Moga Woods (Day)	8
Earth Crystal	Moga Woods (Day)	8
Stone	Moga Woods (Day)	8
Whetstone	Moga Woods (Day)	8
Aquaglow Jewel	Moga Woods (Day)	8
Paintberry	Moga Woods (Day)	9
Sap Plant	Moga Woods (Day)	9
Antidote Herb	Moga Woods (Day)	9
Ivy	Moga Woods (Day)	9
Might Seed	Moga Woods (Day)	9
Red Coral Stone	Moga Woods (Day)	10
Broken Shell	Moga Woods (Day)	10
Jumbo Pearl	Moga Woods (Day)	10
Stone	Moga Woods (Day)	10
Worm	Moga Woods (Day)	10
Frog	Moga Woods (Day)	10
Abalone Piece	Moga Woods (Day)	10
Fossil Piece	Moga Woods (Day)	10
Dragonbone Piece	Moga Woods (Day)	10
Iron Ore	Moga Woods (Day)	10
Whetfish	Moga Woods (Day)	10
Earth Crystal	Moga Woods (Day)	10
Machalite Ore	Moga Woods (Day)	10
Aquaglow Jewel	Moga Woods (Day)	10
Sushifish	Moga Woods (Day)	10
Pin Tuna	Moga Woods (Day)	10
Small Goldenfish	Moga Woods (Day)	10
Scatterfish	Moga Woods (Day)	10
Mystic Narwhal	Moga Woods (Day)	10
Dragonbone Piece	Moga Woods (Day)	11
Bone	Moga Woods (Day)	12
Mystery Bone	Moga Woods (Day)	12
Iron Ore	Moga Woods (Day)	12
Aquaglow Jewel	Moga Woods (Day)	12
Machalite Ore	Moga Woods (Day)	12
Whetfish	Moga Woods (Night)	0
Armorfish Morsel	Moga Woods (Night)	0
Pin Tuna	Moga Woods (Night)	0
Glutton Tuna	Moga Woods (Night)	0
Popfish	Moga Woods (Night)	0
Small Goldenfish	Moga Woods (Night)	0
Whetfish	Moga Woods (Night)	1
Insect Husk	Moga Woods (Night)	1
Stone	Moga Woods (Night)	1
Herb	Moga Woods (Night)	1
Felvine	Moga Woods (Night)	1
Torch	Moga Woods (Night)	1
Airweed	Moga Woods (Night)	1
Spider Web	Moga Woods (Night)	1
Ivy	Moga Woods (Night)	1
Sap Plant	Moga Woods (Night)	1
Might Seed	Moga Woods (Night)	1
Iron Ore	Moga Woods (Night)	1
Earth Crystal	Moga Woods (Night)	1
Carbalite Ore	Moga Woods (Night)	1
Whetstone	Moga Woods (Night)	1
Machalite Ore	Moga Woods (Night)	1
Bloodrun Jewel	Moga Woods (Night)	1
Bitterbug	Moga Woods (Night)	1
Flashbug	Moga Woods (Night)	1
Thunderbug	Moga Woods (Night)	1
Hercudrome	Moga Woods (Night)	1
Godbug	Moga Woods (Night)	1
Worm	Moga Woods (Night)	1
Honey	Moga Woods (Night)	2
Snakebee Larva	Moga Woods (Night)	2
Insect Husk	Moga Woods (Night)	2
Blue Mushroom	Moga Woods (Night)	2
Exciteshroom	Moga Woods (Night)	2
Herb	Moga Woods (Night)	2
Airweed	Moga Woods (Night)	2
Spider Web	Moga Woods (Night)	2
Ivy	Moga Woods (Night)	2
Sap Plant	Moga Woods (Night)	2
Might Seed	Moga Woods (Night)	2
Paintberry	Moga Woods (Night)	2
Antidote Herb	Moga Woods (Night)	2
Bitterbug	Moga Woods (Night)	2
Flashbug	Moga Woods (Night)	2
Thunderbug	Moga Woods (Night)	2
Hercudrome	Moga Woods (Night)	2
Godbug	Moga Woods (Night)	2
Worm	Moga Woods (Night)	2
Blue Mushroom	Moga Woods (Night)	3
Exciteshroom	Moga Woods (Night)	3
Insect Husk	Moga Woods (Night)	3
Honey	Moga Woods (Night)	3
Snakebee Larva	Moga Woods (Night)	3
Unique Mushroom	Moga Woods (Night)	3
Choice Mushroom	Moga Woods (Night)	3
Bitterbug	Moga Woods (Night)	3
Flashbug	Moga Woods (Night)	3
Thunderbug	Moga Woods (Night)	3
