name	points	effect_name	description
Poison	10	Negate Poison	Negate poison status effect.
Poison	-10	Double Poison	Poison status lasts twice as long.
Paralysis	10	Negate Paralysis	Negate paralysis status effect.
Paralysis	-10	Double Paralysis	Paralysis lasts twice as long.
Sleep	10	Negate Sleep	Negate sleep status effect.
Sleep	-10	Double Sleep	Sleep lasts twice as long.
Stun	10	Halve Stun	Takes twice as many attacks to stun.
Stun	15	Negate Stun	Negate stun status effect.
Stun	-10	Double Stun	Stun occurs twice as fast and is twice as difficult to shake out of.
Mud/Snow	10	Negate Mud/Snow	Negate mud/snow negative status effect.
Antiseptic	10	Antiseptic	Allows you to use any item while under stench effect.
Def Lock	10	Iron Skin	Items that decrease defense will be ineffective.
Dungmaster	10	Dung Bomb Expert	Increases dung bomb efficacy and combination success rate.
Biology	10	Bio Master	"Increases dung bomb efficacy and combination success rate, negates slimeblight and prevents stench."
Attack	10	Attack Up (S)	Slightly increases attack.
Attack	15	Attack Up (M)	Increases attack.
Attack	20	Attack Up (L)	Significantly increases attack.
Attack	-10	Attack Down (S)	Slightly decreases attack.
Attack	-15	Attack Down (M)	Decreases attack.
Attack	-20	Attack Down (L)	Significantly decreases attack.
Defense	10	Defense Up (S)	Increases defense by 15.
Defense	15	Defense Up (M)	Increases defense by 3% and a further 20.
Defense	20	Defense Up (L)	Increases defense by 7% and a further 25.
Defense	-10	Defense Down (S)	Defense is decreased by 10; cannot decrease defense lower than 1.
Defense	-15	Defense Down (M)	Defense is decreased by 5% and a minimum 10; cannot decrease defense lower than 1.
Defense	-20	Defense Down (L)	Defense is decreased by 10% and a minimum 10; cannot decrease defense lower than 1.
Health	10	Health +20	Increase health permanently by 20.
Health	15	Health +50	Increase health permanently by 50.
Health	-10	Health -10	Decrease health permanently by 10.
Health	-15	Health -30	Decrease health permanently by 30.
Rec Speed	10	Recovery Spd +1	Red life recovery speed increased to twice normal speed.
Rec Speed	15	Recovery Spd +2	Red life recovery speed increased to four times normal speed.
Rec Speed	-10	Recovery Spd -1	Red life recovery speed decreased to half normal speed.
Rec Speed	-15	Recovery Spd -2	Red life recovery speed decreased to 25% normal speed.
Protection	10	Divine Blessing	Attacks deal 30% less damage 25% of the time.
Protection	-10	Demonic Blessing	Attacks deal 30% more damage 25% of the time.
Sheating	10	Quick Sheath	Sheath weapon faster than normal.
Fastcharge	10	Focus	"L. Sword, D. Blade, and S. Axe gauges charge 20% faster while G. Sword, Bow, and Hammer charging time decreased by 20%."
Fastcharge	-10	Distraction	"L. Sword, D. Blade, and S. Axe gauges charge 20% slower while G. Sword, Bow, and Hammer charging time increased by 20%."
Expert	10	Critical Eye +1	Affinity increased by 10%.
Expert	15	Critical Eye +2	Affinity increased by 20%.
Expert	20	Critical Eye +3	Affinity increased by 30%.
Expert	-10	Critical Eye -1	Affinity decreased by 5%.
Expert	-15	Critical Eye -2	Affinity decreased by 10%.
Expert	-20	Critical Eye -3	Affinity decreased by 15%.
Tenderizer	10	Weakness Exploit	"When attacking a monster part with defense higher than 45, damage is increased by 5%."
Destroyer	10	Partbreaker	Attacks decrease monster part durability 30% faster.
KO	10	Knockout King	Dizzy damage is increazed by 10%.
Stam Drain	10	Stamina Thief	Fatigue damage is increased by 20%.
Constitutn	10	Constitution +1	"Stamina consumption when evading, blocking, and using Switch Axe is decreased by 25%."
Constitutn	15	Constitution +2	"Stamina consumption when evading, blocking, and using Switch Axe is decreased by 50%."
Constitutn	-10	Constitution -1	"Stamina consumption when evading, blocking, and using Switch Axe is increased by 20%."
Constitutn	-15	Constitution -2	"Stamina consumption when evading, blocking, and using Switch Axe is increased by 35%."
Hearing	10	Earplugs	Negates the effects of some large monsters' roars.
Hearing	15	HG Earplugs	Negates the effects of all large monsters' roars.
Wind Res	10	Windproof (Lo)	Negates small amounts of wind pressure.
Wind Res	15	Windproog (Hi)	Negates almost all wind pressure.
Tremor Res	10	Tremor Resistance	Prevents staggering from tremors created by large monsters.
Heat Res	10	Heat Cancel	Damage caused by heat and lava terrain is negated.
Heat Res	-10	Heat Surge	Damage caused by heat and lava terrain in doubled.
Cold Res	10	Cold Cancel	Stamina drain caused by cold is negated.
Cold Res	-10	Cold Surge	Stamina drain caused by cold is doubled.
Stamina	10	Marathon Runner	Stamina depletion for actions that continuously drain stamina is decreased by 50%.
Stamina	-10	Short Sprinter	Stamina depletion for actions that continuously drain stamina is increased by 20%.
Stam Recov	10	Stam Recov Up	Stamina recovers twice as fast.
Stam Recov	-10	Stam Recov Down	Stamina recovers 25% slower.
Evasion	10	Evasion +1	Increases invulnerability during evasive moves from 0.2 seconds to 0.33 seconds.
Evasion	15	Evasion +2	Increases invulnerability during evasive moves from 0.2 seconds to 0.4 seconds.
Evasion	-10	Evasion Down	Decreases invulnerability during evasives moves from 0.2 seconds to 0.1 seconds.
Evade Dist	10	Evade Extender	Increases evade distance by 50%.
Dive Dist	10	Dive Enhancer	Distance traveled when performing running div away from large monsters is extended and can be performed toward them.
Sense	10	Sneak	Decreases the likelihood of being targeted by monsters.
Sense	-10	Taunt	Increases the likelihood of being targeted by monsters.
Guard	10	Guard +1	"Decrease stamina consumed by blocking by 10, negate guard damage, and knockback by most attacks."
Guard	15	Guard +2	"Decrease stamina consumed by blocking by 20, negate guard damage, and knockback by most attacks."
Guard	-10	Guard -1	"Increase stamina consumed by blocking by 10, increase guard damage, and knockback by most attacks."
Guard Up	10	Guard Boost	Causes previously unblockable attacks to become blockable.
Status	10	Status Atk +1	Slightly increases the potency of abnormal attacks.
Status	15	Status Atk +2	Significantly increases the potency of abnormal status attacks.
Status	-10	Status Atk Down	Decreases the potency of abnormal status attacks.
Fire Atk	10	Fire Atk +1	Increases damage of fire attacks and shots by 10%.
Fire Atk	15	Fire Atk +2	Significantly increases the potency of fire attacks and shots by 20%.
Fire Atk	-10	Fire Atk Down	Decreases damage of fire attacks and shots by 25%.
Water Atk	10	Water Atk +1	Increases damage of water attacks and shots by 10%.
Water Atk	15	Water Atk +2	Increases damage of water attacks and shots by 20%.
Water Atk	-10	Water Atk Down	Decreases damage of water attacks and shots by 25%.
ThunderAtk	10	Thunder Atk +1	Increases damage of thunder attacks and shots by 10%.
ThunderAtk	15	Thunder Atk +2	Increases damage of thunder attacks and shots by 20%.
ThunderAtk	-10	Thunder Atk Down	Decreases damage of thunder attacks and shots by 25%.
Ice Atk	10	Ice Atk +1	Increases damage of ice attacks and shots by 10%.
Ice Atk	15	Ice Atk +2	Increases damage of ice attacks and shots by 20%.
Ice Atk	-10	Ice Atk Down	Decreases damage of ice attacks and shots by 25%.
Dragon Atk	10	Dragon Atk +1	Increases damage of dragon attacks and shots by 10%.
Dragon Atk	15	Dragon Atk +2	Increases damage of dragon attacks and shots by 20%.
Dragon Atk	-10	Dragon Atk Down	Decreases damage of dragon attacks and shots by 25%.
ElementAtk	10	Element Atk +1	"Increases damage of fire, water, thunder, ice, and dragon attacks by 20%."
ElementAtk	-10	Element Atk Down	"Decreases damage of fire, water, thunder, ice, and dragon attacks by 10%."
